,model1,model2,model3,model4,model5
0,3.713498642337006,3.724063066704748,3.624759316494556,3.708871892933125,3.6723118580959246
1,3.1754867955947526,3.0164278845172947,3.0981332587140544,3.2781618382227857,3.4247377833341317
2,3.8761203878839274,3.782591022110458,3.6364650557500764,2.8174104283427885,3.737909461683568
3,3.334144185206297,3.328590563413407,3.4072866352866322,4.271401786157192,4.195474794123042
4,3.2067836020926612,3.303267397258205,3.4438767388930076,3.922225904211218,3.8065295648647073
5,3.666301500950564,3.730100298180664,3.6661992622604016,3.5056538663900274,3.888789873371995
6,3.2158430226252603,3.0568792114986607,3.0891770409517707,3.704890463253603,3.9419958431343334
7,4.103480322566714,3.9083864044214223,4.105890244689818,4.163571624174081,3.897828618578103
8,2.9760081215695187,2.649404681672445,2.4870466893688823,2.9826677560719177,3.0392913881462635
9,4.069209456640049,3.8245625945551427,4.004176730385328,3.635983001228632,3.7150525407673647
10,3.4611167296560534,3.5947038075554016,3.3958383790714053,4.181183534519398,3.694258630697067
11,3.2150339301364705,2.9792451629123,3.0843902809325314,2.7093004193424357,3.3309925404508642
12,3.6862295322423226,3.7042870603511457,3.5903242115851306,3.4568088004791453,3.775562126922056
13,3.574049099982362,3.4124904128923554,3.568171533671763,3.6263519118135275,3.7227612523978166
14,4.147961421483855,3.9712876466275513,3.91336369984795,3.4395105422159498,3.8142164728568284
15,3.2434243345542404,3.5493116892492793,3.8113416935948594,3.7718128137174944,4.05457199517954
16,2.9645991153183817,3.0051330323154066,2.7189967007763274,4.317269537836884,4.175845543383499
17,3.2680472536723406,3.1205680117294663,3.0527995536036805,3.816848482288134,4.060775250818741
18,3.0780751847677204,3.126185551859359,3.1902951462524225,4.342577214987203,4.152394461335377
19,3.175346121329655,3.1533726507029827,3.128625844446056,4.226959757625435,4.279950486034259
20,3.6597690978454285,3.5600121161311358,3.400014265211399,2.852338628609491,3.0212623834475534
21,3.522392811347271,3.424675514362331,3.4894058207919585,3.8672715573400422,3.8426459880656836
22,3.450310968026064,3.4172073225773376,3.6860502726146485,3.852516036993415,3.573821306707933
23,3.1036228644686594,3.1718314825478258,3.097550602916325,4.0251817876324925,3.6230804983536857
24,3.718656674604984,3.6352330050077777,3.7214260450877137,3.1784649114144097,3.4074109676672517
25,3.200166656830391,3.4483644590777556,3.277179609222109,3.679356208760619,3.2086351140373703
26,3.594190439455693,3.525943555139289,3.3285328377937686,3.288226935164599,3.698458638416377
27,3.533057001944777,3.5488547825116235,3.527685416909056,3.77502377490978,3.631086900064603
28,3.755342145937104,3.731813123359621,3.8153890403470268,3.1079300428195,3.617994769431915
29,3.256421996018657,3.321334071700214,3.1102558162144986,3.7043703088305757,3.4358879452685507
30,3.174650047306336,3.566814932789055,3.499236927167851,3.473983950170542,3.5691485137039436
31,2.734849545554025,2.2722655285007534,2.333832980907818,3.3126632501095075,3.800570884607733
32,2.9167021488318756,3.065790047858755,2.8752044984316365,3.6487829890212757,3.100749320427435
33,3.0551650836599054,3.096751900829474,2.898205408477426,3.911394230630839,4.063800795085405
34,3.1121725344659725,3.2953130323856676,3.398592731807676,3.662187830488949,3.4249297217969987
35,3.0177363087696665,3.055057804078451,3.076924926642562,3.3774068711498053,3.143980743283713
36,3.5172325506738504,3.326532886116559,3.074456645956837,3.4063570017482445,4.084192782056526
37,3.4739467557277353,3.239374285506756,3.2518251807776286,3.766193281554414,4.071725360356063
38,3.3172237160821707,3.530159994516583,3.418775809985915,3.810530218687004,3.560580639478157
39,2.7688718426581396,3.024720218154349,2.8808268272141744,4.090516929573388,4.187289215580179
40,2.969333866881969,2.935708223406958,2.9630491364263496,4.298162406875375,4.1903326471242845
41,2.747853661559506,3.083128075190254,3.037249028468819,4.115514611401563,4.0724684050741695
42,2.9425828053453125,3.083646003432765,3.0091790159041794,3.7316723424792646,4.22639777972598
43,3.1347561830162003,3.202425793517459,3.021481687215764,3.63273191132843,4.088300379503928
44,4.125100438536652,3.8537447394904945,3.9321145017428947,2.571396384435047,3.8165031765561706
45,2.3650489530281766,2.4850259825301886,2.6769737974488983,4.201158436619874,4.115234344702772
46,3.2426923777780945,3.2405460657324814,3.318772752704641,4.577669782166375,4.220357743649722
47,2.586547901315863,2.8106765382598,2.5350633918197234,3.3348570739090886,3.531133873688813
48,3.0400639157927296,3.073010169381756,3.033193107925854,3.403152856839728,3.669356061479651
49,2.987955828760303,3.3902090014619946,3.2711255927348253,3.5997175876540672,3.635960569762368
50,3.5309090142268196,3.9037952322583407,3.8231221996577984,3.49732832508754,3.727575305959451
51,3.644412119414324,3.67970294045392,3.5022046236634288,4.079420381376687,3.802658123224731
52,3.4074534201052624,2.9678881137404534,2.962941934201092,4.416592400044201,3.783399989094655
53,3.339118305578963,3.298378191533865,3.259322118556554,3.4203676397774627,3.7303354358134992
54,3.1489180726636903,3.047810432551411,2.9694862067458825,3.7566006701021997,3.814985768406016
55,3.820908563557553,3.47949596025079,3.3430839094328824,3.845508060370021,3.5740462011929846
56,3.8045497484638595,3.8558773395278725,3.661343022125031,3.89816125058276,3.937308203211331
57,3.6572014999739295,3.692267120063887,3.9697466779267168,4.232146029587172,3.8671192112072434
58,3.1656776048671924,2.8688246001775366,3.010530125860439,3.8480205945953956,3.9638192808277113
59,3.397565411148795,3.6374080333676573,3.6584840042724736,3.060278512654645,3.6065649060471268
60,3.6141973702130756,3.6791717580533327,3.7667503462766843,3.9099414041642735,4.0409734654975615
61,3.5788331271874325,3.500770968563331,3.5666401052823518,3.1995811446514084,3.8843423568384092
62,3.6622053002891795,3.855950494428649,3.600674241041777,2.881102383146578,3.416487749145247
63,4.153585393873073,4.010335087642254,3.9295876866964434,2.8113456134582657,3.6822022150545894
64,3.7166929622733416,3.4173667797386527,3.601569453527134,3.3251351112761522,3.4089992758246646
65,3.827792883417015,3.5812311128644145,3.7193686984346037,3.6557147457309664,3.7353998588871486
66,3.761451596165062,3.6557131071764233,3.8876648880571096,3.224941710123785,3.862451393911542
67,3.5920705330880778,3.8113815444363617,3.7569898215716044,3.6238448603873015,3.6898814996295632
68,3.0517034982112734,3.136973694940196,3.0605770865344737,2.702416100805284,2.9981763663921117
69,3.311184373362326,3.6026760742936164,3.414782822977128,3.417648906098432,3.0971353327383397
70,4.143400796228574,4.154920676325254,4.096260284943477,3.0721100532005363,3.707339563719516
71,3.35750764246496,3.5101791690519013,3.4971057961402305,4.008641380463461,3.5939816423463764
72,3.7043411734373684,3.808334547588297,3.799650262576487,4.057658812313905,3.808128099666048
73,2.7867119160921767,2.6369299548696516,2.8396691994263508,3.881289176980922,3.845239817764855
74,3.9928154183563156,3.9195822117069596,3.8164495862580585,3.4867275931236663,3.9709414261456817
75,3.185299259844919,3.720253645779012,3.672754929889974,3.3948989263284575,3.810538070455524
76,3.230496006585387,3.3216246463636074,3.168988500568706,3.277588670150142,3.15958861135013
77,3.23215231389601,2.753940546254369,2.8522487455355803,4.1160875139891155,4.123691727865328
78,3.1618412828737252,3.201304100761944,3.2388992133150962,4.196923717412042,3.9813237670042794
79,3.1677511592986316,3.5559063423248425,3.412376730581242,3.9388464004698984,3.966461217374365
80,3.3955060778189092,3.3482532391435265,3.21030490507996,3.637331727339047,4.06010919500339
81,3.456623163508907,3.4535095122768347,3.442521173978054,3.613781887961634,3.427102104327776
82,3.4000583163190776,3.411183663772948,3.5568730990026465,3.0031762515791547,3.5594928976435902
83,3.520686510969142,3.7952985344634524,3.6532086015701117,3.332703225979333,3.8660279938990536
84,3.561321020176049,3.741934672913078,3.5959053387300086,3.323138424281793,3.586002513825062
85,3.788030549751031,3.5396744892477017,3.6970272822031176,2.9853356957266115,3.600088752667137
86,3.796338336157594,3.7479368787815037,3.8206687073173713,3.772124641746782,3.4740275613494154
87,3.949630941569332,3.809731294917636,3.9140237179481745,3.767208653952156,3.836322414690943
88,3.464719245170995,3.7174197059192906,3.759680565047698,3.5189793790079023,3.8099406505041626
89,3.529504594232669,3.6437918497650257,3.6914117909957165,3.6263780248775834,3.306018124148521
90,3.7060014920209277,3.640872490987137,3.5965191819364843,3.931225446834863,3.3537354531959904
91,2.825421596427081,3.1010144536432183,3.2683443632257196,3.998267663273084,3.6468933845864933
92,3.2673225116478015,3.244623086414066,3.377678139135267,3.5839293862239026,3.987333894116125
93,3.7348495169108205,3.8212030122736005,3.556628646082187,3.8304587452345715,3.7369767234127655
94,3.4996380710519164,3.9290070759953366,3.963643350029744,4.047059943105361,3.9600207221287014
95,3.383810448587711,3.316399941029346,3.407046419439037,3.567330198604689,3.9408574882167207
96,3.441252459018135,3.5496100324406274,3.580625437572784,3.305008264025129,3.6441555826845446
97,4.135273486829929,3.921866983209241,4.166495076091626,3.899673447484831,3.8924983277143967
98,3.5116021434738265,3.929256729866236,3.4362268740976054,2.4380998868233643,3.4752020380318043
99,3.7925597594880034,3.9740809874113396,3.884015043906508,3.516719277558069,3.757063999613141
100,3.6342174466390262,4.061500317015636,3.9107085214233015,3.7641143342845713,3.773795479602139
101,3.942745741733408,3.9963103017250328,3.8895800998180916,3.6097079149622435,3.8433012165736073
102,2.893927811029537,2.8640128903491466,2.7436240220544916,4.023401719358552,3.920634479324389
103,3.2569906499923165,3.107207745728062,2.9939682370453666,3.6970986943704958,4.056358412912753
104,3.3469151994042936,3.5143533124127835,3.4768656438972334,4.321600911234484,3.7725604741408563
105,3.519518646666875,3.4644280549371373,3.52999479323066,3.6834406330264264,3.518267340152614
106,3.5566901703843494,3.378410454626803,3.329876616430992,3.4023525949483626,3.742853012407175
107,3.754110392847364,3.653669580619696,3.725608027486479,2.856185082595863,3.590519579510569
108,3.567629829141685,3.8366990033701027,3.8223338002039364,3.552432198523322,3.740912748914267
109,2.647458027691002,2.6496954509701616,2.5881910439527256,2.6696732362569793,3.604730887971764
110,3.8048355079092784,3.974322544116907,3.9124289007512822,3.854263305638738,3.7345066319462386
111,3.6042384611688143,3.4629455401558493,3.5361242893469136,3.5254797187064613,3.808911622450865
112,3.433423144290092,3.5891471015565366,3.4780304677447242,4.205038867622747,3.7494252977970595
113,3.478765538626344,3.4730011327596317,3.437162470014663,4.146514953542458,3.358440722692342
114,3.2015005556115663,3.322072122470321,3.1674900338078733,3.470789412514836,3.8248155972836595
115,2.9638753873615356,2.714130244278282,2.8908145935083995,4.172373531177794,3.9390335436265027
116,3.866117440081025,3.9294800401882433,3.9634416536163624,3.9258529066910226,3.937937165985722
117,3.684649711835901,3.483593195252304,3.3757592906312692,2.814921671423935,3.558614608182134
118,3.229233124821811,3.1426947603071897,2.941422692019219,3.61254270668307,4.176850359461493
119,3.269294571977896,3.3538892457019736,3.4290537555707346,4.469020405831379,4.217587489545759
120,3.6933714388629943,3.5120236039097232,3.5787304019760726,4.113587705117457,3.9085039383798126
121,3.1972632145188924,3.1203040142211758,3.126575753533758,3.792372708080519,4.0566829862914995
122,3.9656990630380498,3.9085036367887915,3.742139587826043,3.6888701530189505,3.520653714059251
123,3.1126490014796198,2.9973506417937372,2.938793390892951,4.217401223336737,3.9628274319678347
124,3.4551445828193392,3.5427692547351937,3.786469440109517,3.6547440801388955,3.491547110878465
125,3.7463997843602432,3.8259885712481556,3.7985247231947343,3.3429017464917203,3.9179564598758234
