,model1,model2,model3,model4,model5,model6
0,3.8761203878839274,3.782591022110458,3.6364650557500764,2.8174104283427885,3.6285938526960293,3.737909461683568
1,4.103480322566714,3.9083864044214223,4.105890244689818,4.163571624174081,3.9364109884830087,3.897828618578103
2,3.6597690978454285,3.5600121161311358,3.400014265211399,2.852338628609491,3.2802739938171483,3.0212623834475534
3,3.1036228644686594,3.1718314825478258,3.097550602916325,4.0251817876324925,3.0119407794100894,3.6230804983536857
4,3.174650047306336,3.566814932789055,3.499236927167851,3.473983950170542,3.368251992039573,3.5691485137039436
5,3.8045497484638595,3.8558773395278725,3.661343022125031,3.89816125058276,3.4158627500010788,3.937308203211331
6,4.143400796228574,4.154920676325254,4.096260284943477,3.0721100532005363,4.141101344470257,3.707339563719516
7,3.561321020176049,3.741934672913078,3.5959053387300086,3.323138424281793,3.5694192581612514,3.586002513825062
8,3.7060014920209277,3.640872490987137,3.5965191819364843,3.931225446834863,3.5126653159321615,3.3537354531959904
9,3.7348495169108205,3.8212030122736005,3.556628646082187,3.8304587452345715,3.6814090680477465,3.7369767234127655
10,3.3469151994042936,3.5143533124127835,3.4768656438972334,4.321600911234484,4.08751671288471,3.7725604741408563
11,3.5566901703843494,3.378410454626803,3.329876616430992,3.4023525949483626,3.2069001210416865,3.742853012407175
12,3.9656990630380498,3.9085036367887915,3.742139587826043,3.6888701530189505,4.006384062830897,3.520653714059251
13,3.4551445828193392,3.5427692547351937,3.786469440109517,3.6547440801388955,3.446600124245048,3.491547110878465
14,2.728511018070603,3.712826505104643,3.739958651435829,4.158695067470723,3.4187846623396796,3.7897801981044785
15,3.96923498107751,3.9531174976237917,4.010938134606262,3.698957411881859,3.924819177659527,3.786049354758059
16,3.8745619210235205,2.7468713361806385,2.7450613299050395,4.124455752220919,3.801785776110788,3.3746142020707683
17,3.663858727999352,3.4734617378267836,3.5153150583295787,3.410022471775219,3.688360293027423,3.759062065776034
18,2.685483228169954,2.8740124778482588,2.787653454111761,3.869236511301837,3.079304548994697,3.730442997104198
19,3.3121380219508993,3.6132983410385147,3.5770907504671383,3.4716648235915324,3.914429262211064,3.6139396883361683
20,3.144890298334374,3.383371179816789,3.339511987451657,3.6760804696111675,3.461852540080792,3.71629178564382
21,3.5200344008009834,4.238515310105344,3.99709216844657,3.8142631030951173,4.046972245877058,4.080173727924854
22,3.3832030793112042,3.275723224118789,3.305660948492507,2.9839143125217,3.0033744404869562,2.9024299171446413
23,3.6140001920410083,3.5569352438429425,3.0685232943025365,3.5916039222606226,3.2882821140614484,3.767108407918816
24,3.186707424860551,3.2531696502282124,3.2159517392271657,2.7609771834867662,3.195538869015903,3.013450431929776
25,3.5777074381361764,3.3693754309516786,3.4440619532368073,3.674842502919842,3.425605643957083,3.2770400150243417
26,3.290813191192307,2.977735624953022,3.0552597738266387,2.5755003366135623,3.286030421357292,3.175127607282052
