,model1,model2,model3,model4,model5
0,3.1754867955947526,3.0164278845172947,3.0981332587140544,3.2781618382227857,3.4247377833341317
1,3.8761203878839274,3.782591022110458,3.6364650557500764,2.8174104283427885,3.737909461683568
2,3.334144185206297,3.328590563413407,3.4072866352866322,4.271401786157192,4.195474794123042
3,3.2067836020926612,3.303267397258205,3.4438767388930076,3.922225904211218,3.8065295648647073
4,3.666301500950564,3.730100298180664,3.6661992622604016,3.5056538663900274,3.888789873371995
5,3.2158430226252603,3.0568792114986607,3.0891770409517707,3.704890463253603,3.9419958431343334
6,4.103480322566714,3.9083864044214223,4.105890244689818,4.163571624174081,3.897828618578103
7,2.9760081215695187,2.649404681672445,2.4870466893688823,2.9826677560719177,3.0392913881462635
8,4.147961421483855,3.9712876466275513,3.91336369984795,3.4395105422159498,3.8142164728568284
9,3.2434243345542404,3.5493116892492793,3.8113416935948594,3.7718128137174944,4.05457199517954
10,2.9645991153183817,3.0051330323154066,2.7189967007763274,4.317269537836884,4.175845543383499
11,3.2680472536723406,3.1205680117294663,3.0527995536036805,3.816848482288134,4.060775250818741
12,3.0780751847677204,3.126185551859359,3.1902951462524225,4.342577214987203,4.152394461335377
13,3.175346121329655,3.1533726507029827,3.128625844446056,4.226959757625435,4.279950486034259
14,3.6597690978454285,3.5600121161311358,3.400014265211399,2.852338628609491,3.0212623834475534
15,3.522392811347271,3.424675514362331,3.4894058207919585,3.8672715573400422,3.8426459880656836
16,3.450310968026064,3.4172073225773376,3.6860502726146485,3.852516036993415,3.573821306707933
17,3.594190439455693,3.525943555139289,3.3285328377937686,3.288226935164599,3.698458638416377
18,3.533057001944777,3.5488547825116235,3.527685416909056,3.77502377490978,3.631086900064603
19,3.755342145937104,3.731813123359621,3.8153890403470268,3.1079300428195,3.617994769431915
20,3.256421996018657,3.321334071700214,3.1102558162144986,3.7043703088305757,3.4358879452685507
21,3.174650047306336,3.566814932789055,3.499236927167851,3.473983950170542,3.5691485137039436
22,2.734849545554025,2.2722655285007534,2.333832980907818,3.3126632501095075,3.800570884607733
23,2.9167021488318756,3.065790047858755,2.8752044984316365,3.6487829890212757,3.100749320427435
24,3.0551650836599054,3.096751900829474,2.898205408477426,3.911394230630839,4.063800795085405
25,3.1121725344659725,3.2953130323856676,3.398592731807676,3.662187830488949,3.4249297217969987
26,3.0177363087696665,3.055057804078451,3.076924926642562,3.3774068711498053,3.143980743283713
27,3.5172325506738504,3.326532886116559,3.074456645956837,3.4063570017482445,4.084192782056526
28,3.4739467557277353,3.239374285506756,3.2518251807776286,3.766193281554414,4.071725360356063
29,3.3172237160821707,3.530159994516583,3.418775809985915,3.810530218687004,3.560580639478157
30,2.7688718426581396,3.024720218154349,2.8808268272141744,4.090516929573388,4.187289215580179
31,2.969333866881969,2.935708223406958,2.9630491364263496,4.298162406875375,4.1903326471242845
32,2.747853661559506,3.083128075190254,3.037249028468819,4.115514611401563,4.0724684050741695
33,2.9425828053453125,3.083646003432765,3.0091790159041794,3.7316723424792646,4.22639777972598
34,3.1347561830162003,3.202425793517459,3.021481687215764,3.63273191132843,4.088300379503928
35,4.125100438536652,3.8537447394904945,3.9321145017428947,2.571396384435047,3.8165031765561706
36,2.3650489530281766,2.4850259825301886,2.6769737974488983,4.201158436619874,4.115234344702772
37,3.2426923777780945,3.2405460657324814,3.318772752704641,4.577669782166375,4.220357743649722
38,2.586547901315863,2.8106765382598,2.5350633918197234,3.3348570739090886,3.531133873688813
39,3.4074534201052624,2.9678881137404534,2.962941934201092,4.416592400044201,3.783399989094655
40,3.339118305578963,3.298378191533865,3.259322118556554,3.4203676397774627,3.7303354358134992
41,3.1489180726636903,3.047810432551411,2.9694862067458825,3.7566006701021997,3.814985768406016
42,3.820908563557553,3.47949596025079,3.3430839094328824,3.845508060370021,3.5740462011929846
43,3.8045497484638595,3.8558773395278725,3.661343022125031,3.89816125058276,3.937308203211331
44,3.6572014999739295,3.692267120063887,3.9697466779267168,4.232146029587172,3.8671192112072434
45,3.1656776048671924,2.8688246001775366,3.010530125860439,3.8480205945953956,3.9638192808277113
46,3.397565411148795,3.6374080333676573,3.6584840042724736,3.060278512654645,3.6065649060471268
47,3.6141973702130756,3.6791717580533327,3.7667503462766843,3.9099414041642735,4.0409734654975615
48,4.143400796228574,4.154920676325254,4.096260284943477,3.0721100532005363,3.707339563719516
49,3.35750764246496,3.5101791690519013,3.4971057961402305,4.008641380463461,3.5939816423463764
50,3.7043411734373684,3.808334547588297,3.799650262576487,4.057658812313905,3.808128099666048
51,2.7867119160921767,2.6369299548696516,2.8396691994263508,3.881289176980922,3.845239817764855
52,3.9928154183563156,3.9195822117069596,3.8164495862580585,3.4867275931236663,3.9709414261456817
53,3.185299259844919,3.720253645779012,3.672754929889974,3.3948989263284575,3.810538070455524
54,3.230496006585387,3.3216246463636074,3.168988500568706,3.277588670150142,3.15958861135013
55,3.23215231389601,2.753940546254369,2.8522487455355803,4.1160875139891155,4.123691727865328
56,3.1618412828737252,3.201304100761944,3.2388992133150962,4.196923717412042,3.9813237670042794
57,3.1677511592986316,3.5559063423248425,3.412376730581242,3.9388464004698984,3.966461217374365
58,3.3955060778189092,3.3482532391435265,3.21030490507996,3.637331727339047,4.06010919500339
59,3.7060014920209277,3.640872490987137,3.5965191819364843,3.931225446834863,3.3537354531959904
60,2.825421596427081,3.1010144536432183,3.2683443632257196,3.998267663273084,3.6468933845864933
61,3.2673225116478015,3.244623086414066,3.377678139135267,3.5839293862239026,3.987333894116125
62,3.7348495169108205,3.8212030122736005,3.556628646082187,3.8304587452345715,3.7369767234127655
63,3.4996380710519164,3.9290070759953366,3.963643350029744,4.047059943105361,3.9600207221287014
64,3.383810448587711,3.316399941029346,3.407046419439037,3.567330198604689,3.9408574882167207
65,3.441252459018135,3.5496100324406274,3.580625437572784,3.305008264025129,3.6441555826845446
66,4.135273486829929,3.921866983209241,4.166495076091626,3.899673447484831,3.8924983277143967
67,3.5116021434738265,3.929256729866236,3.4362268740976054,2.4380998868233643,3.4752020380318043
68,3.7925597594880034,3.9740809874113396,3.884015043906508,3.516719277558069,3.757063999613141
69,3.6342174466390262,4.061500317015636,3.9107085214233015,3.7641143342845713,3.773795479602139
70,3.942745741733408,3.9963103017250328,3.8895800998180916,3.6097079149622435,3.8433012165736073
71,2.893927811029537,2.8640128903491466,2.7436240220544916,4.023401719358552,3.920634479324389
72,3.2569906499923165,3.107207745728062,2.9939682370453666,3.6970986943704958,4.056358412912753
73,3.3469151994042936,3.5143533124127835,3.4768656438972334,4.321600911234484,3.7725604741408563
74,3.519518646666875,3.4644280549371373,3.52999479323066,3.6834406330264264,3.518267340152614
75,3.5566901703843494,3.378410454626803,3.329876616430992,3.4023525949483626,3.742853012407175
76,3.433423144290092,3.5891471015565366,3.4780304677447242,4.205038867622747,3.7494252977970595
77,3.478765538626344,3.4730011327596317,3.437162470014663,4.146514953542458,3.358440722692342
78,3.2015005556115663,3.322072122470321,3.1674900338078733,3.470789412514836,3.8248155972836595
79,2.9638753873615356,2.714130244278282,2.8908145935083995,4.172373531177794,3.9390335436265027
80,3.866117440081025,3.9294800401882433,3.9634416536163624,3.9258529066910226,3.937937165985722
81,3.684649711835901,3.483593195252304,3.3757592906312692,2.814921671423935,3.558614608182134
82,3.229233124821811,3.1426947603071897,2.941422692019219,3.61254270668307,4.176850359461493
83,3.269294571977896,3.3538892457019736,3.4290537555707346,4.469020405831379,4.217587489545759
84,3.6933714388629943,3.5120236039097232,3.5787304019760726,4.113587705117457,3.9085039383798126
85,3.1972632145188924,3.1203040142211758,3.126575753533758,3.792372708080519,4.0566829862914995
86,3.9656990630380498,3.9085036367887915,3.742139587826043,3.6888701530189505,3.520653714059251
87,3.1126490014796198,2.9973506417937372,2.938793390892951,4.217401223336737,3.9628274319678347
88,3.4551445828193392,3.5427692547351937,3.786469440109517,3.6547440801388955,3.491547110878465
89,3.1639594743400488,3.4509232080577235,3.3474300519033844,2.847464261893265,3.8430375491000803
90,3.342296309306576,3.6441979062655068,3.6377205026459847,4.062026410061131,3.788550490698226
91,3.3871158913590196,3.341973566745487,2.8899643805270183,3.512294427669928,3.902361049944746
92,2.728511018070603,3.712826505104643,3.739958651435829,4.158695067470723,3.7897801981044785
93,3.268339080487532,3.1557256057833407,3.200066116109043,3.70032724172225,3.7008237618771465
94,3.190726826312518,3.1261542669392584,2.9776903155159076,3.505729521281751,3.9835839509286313
95,3.518689576372591,3.2875309024747734,3.426474715482455,4.086356135573385,4.086472946939354
96,3.96923498107751,3.9531174976237917,4.010938134606262,3.698957411881859,3.786049354758059
97,3.186166063811573,3.1623128597207266,3.0600074782549322,3.9809418436083672,4.109334403144881
98,3.006093473279539,3.0179742759174264,2.5103778576625233,3.279759275763603,3.139883217891791
99,3.8745619210235205,2.7468713361806385,2.7450613299050395,4.124455752220919,3.3746142020707683
100,3.053587669801257,3.1519827196827106,3.122710605246886,3.6932037593781377,3.6788497240649884
101,3.3335660872211097,3.3422064439493573,3.3719408450558768,3.5854966603839005,3.986374767967365
102,3.2370102861070578,2.9566921128546517,3.301282710394689,3.9616134431007315,4.035456045335111
103,3.809581719394108,3.6211133802739712,3.3953059411367907,4.126866298580499,3.6097441583413006
104,3.3121380219508993,3.6132983410385147,3.5770907504671383,3.4716648235915324,3.6139396883361683
105,3.171323150177599,3.190750235568765,3.268957581833202,4.220002092138954,4.029188114454111
106,3.7001349332008497,4.006839947899082,3.691788595351371,4.331725852064468,4.232363817625653
107,2.9731861981575887,3.333426253809221,3.290656917759458,3.7721618876028726,3.792136153878493
108,3.368309377630945,3.1142780491506157,3.0221191434177617,3.746056286786219,3.9318167908314154
109,3.28287675161036,3.4640320095936175,3.360460753582964,3.6634500179733465,3.6797068200212917
110,3.191953997725621,3.4982422394169013,3.4437769255328026,3.8594833907867105,3.9316490230544043
111,3.382493423497164,3.3991816503898145,3.1425654198235122,3.6261133045373923,3.9865883416569154
112,3.704142561822382,3.771668453914861,3.4697853379128376,3.4319350950781202,3.71670933666094
113,3.5200344008009834,4.238515310105344,3.99709216844657,3.8142631030951173,4.080173727924854
114,3.205415998204508,3.3085642730502607,3.114609095917387,3.312296970861622,3.7277378219772013
115,2.924790296948711,2.9019755624390275,2.879984031164285,4.033337459012744,4.11777456749643
116,3.5495935955764244,3.6592526658403246,3.5131093581535735,3.768083987095123,3.892917972147536
117,3.2134083100232704,3.2045168082437083,2.6716098168048696,3.941325853664542,3.906467584702329
118,2.98081580906487,3.28482293410565,3.0807935488187295,4.006878731837095,3.9845882411053077
119,3.3897372565727535,3.8329604405550852,3.66335390763758,4.0793040726155505,3.5390856552973977
120,3.417000226227554,3.914827992091959,3.8273913644756052,3.830453494963443,3.4734039249086024
121,3.3832030793112042,3.275723224118789,3.305660948492507,2.9839143125217,2.9024299171446413
122,2.917740949076802,2.909860397036096,2.7150075956264987,3.4569461461024016,4.0583890427077245
123,3.3840709518962364,3.0507057010639507,2.9667643577556757,3.111468096118125,3.9026358917135786
124,3.371023879061772,3.5499050805151238,3.6421926420192943,3.0032136847690576,3.2073499700473653
125,2.343046884308094,2.8170128802728533,2.9068702363191727,3.2797142838340814,2.9747248593637137
126,3.2637463662899475,3.20671821409251,2.9607172679086404,3.138933539588542,3.3454760246066595
127,3.5812778060888646,3.3290896501915483,3.283348923729737,3.8795135443747135,4.0613730130938475
128,3.025939632390047,3.073429053439001,2.8978610549980646,3.897646920735602,3.8160098156924986
129,3.6140001920410083,3.5569352438429425,3.0685232943025365,3.5916039222606226,3.767108407918816
