,model1,model2,model3,model4,model5
0,2.4875844445666884,2.5222254408207694,2.359067354634942,2.502681300613426,3.665052591078789
1,3.487779733675702,3.2657903009690994,3.0399988913111704,2.533268838572963,4.151282704683995
2,3.5169553391216053,3.420814628772941,3.486595677911393,4.163363524179748,4.814686369906455
3,3.1658415681068726,2.898634136575101,3.04125501138517,3.0983058884317094,4.146141918801271
4,3.5870786715702105,3.7724610740636213,3.5931812351779575,2.8438241716890484,4.379220581186269
5,3.3991388843305077,2.9438203889127994,2.9170377782687096,3.5405733529117724,4.52596278999311
6,3.9962582403269806,3.736852697357668,3.865001972097011,3.52987832603194,4.296463788778013
7,2.228900878376792,1.9548406682926267,1.9144794261910802,2.400181215682039,3.1871815687266385
8,3.0675547200097415,2.970956708004061,2.6492608457695233,2.467562087535838,3.7439664614760275
9,3.203045504730777,3.297117045251518,3.405531610737432,2.5859179159004766,4.453233753399054
10,2.6326424054746003,2.395722931531349,2.507856745934335,3.785867356683712,4.755200202749886
11,2.9258664022403806,2.5329910969528147,2.3044122914408307,3.2889774864205767,4.748854897727053
12,3.6276108368862796,3.178134327367447,3.1631246798502675,4.36583260141068,4.858888598055986
13,3.111087774701275,3.1394493746344456,2.9493662669650473,4.416426770677419,4.7118667703641535
14,2.6216987413485096,3.0141375440598965,2.9864288805582664,2.179640607991242,3.4237321041884314
15,3.603082141135946,3.5472957141331736,3.609178018060125,3.6612698416917233,4.279890745042067
16,3.9590535305126773,3.7064770707416477,3.8219397249329803,2.347563387274504,3.87715168246722
17,3.101844294109632,2.8165563127792037,2.661735402491223,2.655664357915785,4.117629592494354
18,3.5914249998630234,3.503220457933023,3.362367312018942,3.128885156311065,3.984493371678802
19,3.1787307944369814,3.1699010923164077,2.946095559931694,2.1279439286315203,4.07065267650541
20,2.567201128501683,3.0725035039772726,2.914880710784293,2.88061907919521,3.5577015544622
21,3.3315784747746737,2.7695258980864654,2.859026847578449,2.3616808758063,4.167196846701329
22,2.690735683002106,2.101331013316356,2.172245332530647,2.6846515100818604,4.061087020430445
23,2.460380000521565,2.5961215420401156,2.292890749516587,3.090463165133335,3.4444142609498836
24,3.0860447412470284,2.8465008756948955,2.9521691246319466,3.413739202862017,4.504315879451502
25,3.6322160751365096,3.6385632505235583,3.6716878245091555,3.096312830339115,3.5435607799471107
26,2.3630295020411887,2.364165197326588,2.5336384421624163,2.3362957287113937,3.1126706800372905
27,3.2283419638941564,3.0916390408933427,3.119799964989929,2.471934889957401,4.487643110014165
28,3.462796022721808,3.484603857045294,3.516978385296991,3.3395908677173796,4.763673287041462
29,3.612868196660454,3.5544624534524427,3.569836735686294,3.560042886307815,3.96253956897458
30,2.6248776976521615,2.538192852430956,2.5637946312613633,3.8607848448941353,4.625664148631779
31,2.6817322109545874,2.6025531849195462,2.6601520019225044,3.609818911927814,4.605828295281414
32,2.4012088374817098,2.3438377541175983,2.377463378901335,3.670412065021128,4.580872399725824
33,2.704087686289535,2.50499635668449,2.5516266291558147,3.215004542543937,4.842084626835514
34,3.212549890749183,3.0247635372978072,3.160547730594115,2.7234669133701406,4.544285837342418
35,4.17289953145316,3.787439323207192,3.918441403613818,2.245301673903482,4.262494464330387
36,2.3477872060905556,2.2393545684051066,2.3718616615344006,3.7763246618969855,4.656238572280149
37,3.5845229295278975,3.4391828081852993,3.3986566767990385,4.597114866183124,4.962880847669695
38,2.428754005140834,2.231260916289918,2.2712547200666147,2.4528386637805673,3.7932020334351786
39,3.52039193365266,3.193098098505875,3.326498627711436,3.939804605907284,4.261654545425923
40,3.172021595828023,2.9377010093495537,2.908418446067018,2.787578231527372,4.036427953912511
41,3.4734918549023455,3.3514722705854534,3.4254819640627483,3.0978776472287275,4.389531748238659
42,3.895162622212117,3.6693349566634557,3.5543344595105326,3.3886248372681513,4.007783305230496
43,3.545982254379314,3.3473116505985994,3.25979166685241,3.205469797236279,4.448720303437668
44,3.9794655863289017,3.8396210166110687,3.9626289185230243,4.184020228274208,4.221427703089854
45,3.4772201832333227,3.23365997061847,3.3281640468284297,3.0511388878640933,4.34101924466791
46,3.965055939182992,4.06707632729657,4.080981378342264,2.624819067537298,3.972087033747621
47,3.574110744213056,3.360572072440584,3.3378738563111803,3.3009988759509588,4.640331197373363
48,3.8825001154968715,3.693346215172596,3.655638778821037,2.6925735304584326,4.191012987685048
49,3.5818265129756774,3.4249406223756163,3.383091146018917,3.4202872706790703,4.081129792607959
50,3.610771354478007,3.4093123634157374,3.5636524679231996,2.8865936260159395,4.134427261031223
51,2.6088180991860255,2.342195374579081,2.3205015619523177,3.1565093095861116,4.470903986115278
52,3.9066442512146433,4.030789700043155,4.01511086670317,3.10264514352981,4.244755703391172
53,2.7412047744205994,2.5585172608789617,2.5610470647737174,2.705663697941556,3.9524995585971654
54,2.837175596950819,2.8788134339541287,2.8152590432515363,2.3107534821991798,3.315035623190493
55,3.173740899545868,3.1845761412278906,3.066513725788573,3.4721010374120453,4.716379993244327
56,3.366230236404728,2.709886160276014,2.612798144948221,3.662283917636377,4.540784745392436
57,3.1595210822933693,3.022088610874991,2.927026623875385,3.1387609039160793,4.375221132836119
58,3.1564173258441834,2.8055196225322168,3.1262310382325573,2.7187020901036725,4.4767790401235485
59,3.315359984027743,2.9383985305898888,3.03260765863144,3.1888151069928177,3.738182275575074
60,3.287426685929828,3.2365505740802947,3.3194781576524908,2.5232669110602157,4.32855411472751
61,3.4498174997796625,3.1370703476335917,3.1092953397266445,2.84381638113626,4.562584636658933
62,3.273566403705568,3.2575154423063624,3.2269073482127686,2.8115008419096124,4.105984086496043
63,3.644752143699089,3.5849542459632446,3.603518729996251,3.4661034679382765,4.6871246588116104
64,3.301834216770015,3.092370365376707,3.253912048141056,2.4726709181319517,3.7326352812817323
65,3.3654681264685564,2.5581794938228266,2.9416343443360335,2.6744139639231146,3.9073014409265956
66,3.998778135532684,3.332159595412865,3.990233709505075,2.660012141665842,4.477721589346211
67,3.2320099355285317,2.6875151131797557,2.6894051420836393,2.010360952245913,3.956112372909973
68,3.1427762461743716,3.198415850035756,3.3163178411592846,3.3793971241033915,4.397316546137076
69,3.7231332324947455,3.9755854345232917,4.005153938961613,3.097375187160776,4.357338581687849
70,3.4479867103989394,3.385483076728356,3.3375750942275344,2.837125824490798,4.34586507366481
71,2.527136008422767,2.4046696084854755,2.3301427305341447,3.7026811162412083,4.553252432269399
