,model1,model2,model3,model4,model5,model6
0,4.1222681713229266,4.508917299543914,4.273775778884462,3.0484975137623116,4.132562621517387,4.669505205334068
1,4.926409787621334,4.9180095157430115,5.261860086313595,3.4200201943563666,4.948380416691455,5.139468352020671
2,4.453317967916164,5.31981094414215,4.862707916395733,3.680277298647879,4.80639617485253,4.971219532162685
3,4.716845545060297,4.877833541641615,4.7760052352367355,3.80077251040632,4.613292335684022,5.0775424908327045
4,4.364089720773453,4.986224411590217,5.117716361289215,2.838171743290856,4.907199189936503,5.131883362878181
5,4.255593136530392,5.139101471412193,4.903019878419469,3.380216759575774,4.556568442971267,5.012642470573748
6,5.0675131315552715,5.167961824267754,5.015448784061581,3.429985595665257,5.02848027806955,5.308821190440001
7,4.561980498300053,4.830454678022637,4.5789375015904,3.3030633420997164,4.475962190874148,4.732453944033125
8,4.209670960624749,4.597669071821146,4.4958019133979565,3.1663711878525156,4.4777427315150575,4.6677662796620325
9,4.286579459416929,4.446926826705687,4.6559847612276695,2.7051310330223353,4.336602940349122,4.709860666520678
10,3.8919336727900693,4.143383613859657,4.6020973000926855,2.7799495778659282,4.216216046112813,4.451276648500906
11,3.8347084774852314,4.128950686719251,4.676317089953034,3.044255288726126,4.231879105760968,4.602775172673789
12,4.605957730916233,5.061025687968776,5.149872844800621,2.8643911804717677,5.020644346471413,5.146941896595762
13,4.670197785254073,5.072233582701742,5.287120794043518,3.068465258318081,4.737109777957507,5.04293648190449
14,4.633075977383738,5.400996796935669,4.849403782621898,3.642775570531929,4.691664940951033,5.1191668559707555
15,5.001665210656348,5.090622550659672,4.979323455275135,3.552408372494865,4.720606268517394,5.124536268365513
16,4.257344889463645,5.083291157736783,4.701059111464946,3.62948308237635,4.64158385202516,4.84287094762105
17,4.8181600598632075,5.2986164486087155,5.281127731854704,3.638437011274631,4.937887696085129,5.069366640996323
18,4.379934508840916,4.8524337870203045,5.285145293265018,3.689976316756694,4.664987024039155,4.97374695901525
19,4.233328180524983,4.788909409920919,5.16373813840234,3.2429665489246626,4.788001463111454,4.788537158793629
20,3.9090403129810953,4.562974606766171,4.691740101497904,2.661114341549845,4.644944077608163,4.773421225048191
21,4.4687100757568485,4.27449819784702,4.569441502336942,3.7847537899519894,4.424487793364963,4.655193898001278
22,4.492965365661985,5.1422401057226175,5.273001179318602,3.2559423004790875,4.736047277673223,5.167382561971464
23,4.39712437580988,5.105057213413359,5.231462227517312,3.1790436361233927,5.1089658629566115,5.0000820675809825
24,4.660542925965009,5.077790899057127,5.212105968515852,2.8306354586034,4.927994059283395,5.10420630188861
25,4.816222259203914,5.020638593916097,5.323295868499866,3.1011938236192433,5.029340928239011,5.130091433723315
26,4.741487153085944,5.077570365095998,5.216551787580653,2.7386861292774247,4.8928240954068265,4.9765416691905795
27,4.68128214877878,5.164673369263471,5.065419469892399,3.46197305431646,4.66807118119846,5.2469380162479995
28,4.408216296313662,4.849013630367883,4.572924314466556,3.5342436693493466,4.367077346680365,4.996043482298507
29,4.38568887641174,4.794662081264585,5.13883721539338,3.637292767752974,4.994238860760408,5.143584154754029
30,4.9302211783798,5.035314329271417,5.209206458820766,3.30303119309021,5.19201740721272,5.123244093286006
31,4.340177666038306,4.738593797029514,4.708389884651405,2.441598947081864,4.5419162412738086,5.074819524039266
32,4.719246280987257,5.0583966212671125,5.221799801253346,3.0415557202294377,4.6967509998265005,4.998434843522769
33,4.492324009262499,5.312585884710141,5.240446694487266,3.76012553583605,5.03902546358483,5.175741221897111
34,4.135221059808879,5.388028266751974,5.0306395006937255,3.5409620155803077,4.561760456974919,5.0852926284762905
35,4.685667168207776,5.228858000848181,5.121504267832749,3.804427351962345,4.9776392320598415,5.134961770817665
36,4.282487369007292,5.2103966906975705,5.094538977142183,3.52436784320903,4.550270227501564,5.25498108367204
37,4.905505779848446,5.370364033066426,5.241326451870701,3.2506631421936603,5.004873034018165,5.289111137449753
38,4.446310295559339,4.935410317943723,4.972577067586145,2.6325680624712233,4.772177270628883,5.069085789597951
39,4.567604916121278,4.629240931907968,5.11220617410974,2.439146645748864,4.568960050644035,4.92836954777747
40,4.5250456185117045,4.867838860966103,4.91105810361485,3.7493222574219933,4.805248167203208,5.121907296431583
41,5.10751122820731,5.270533786228455,5.057595618923047,3.912468083431397,4.908955463199574,5.058787458603209
42,4.529043164306885,4.714456498214124,4.63334911647527,3.62298900212233,4.11793859980026,5.1371888444082625
43,4.0201923374355815,4.694192039396819,4.225215760312403,2.8274110473168896,4.405899253572554,4.611452808695182
44,4.424251486766058,4.573504591505001,4.758642019843993,2.5463303879396597,4.3803429551748065,4.539784651188718
45,4.340370083095058,4.474921872189493,4.868729133123582,2.6153476582984885,4.520759157661243,4.369776717115682
46,4.030512230047812,4.29566747178045,4.6307028261135335,3.42066419755558,4.667573004364279,4.4288382191826186
47,4.962281745889084,5.163594301955205,5.1465181189515805,3.4558915929471885,5.158499372006393,5.061828872962353
48,4.5889819002805226,5.094098367371008,5.2569892555135835,3.529792468013305,4.684215351644271,5.16115304911257
49,4.5752933135215885,4.574997755596092,5.0340123589944525,2.9040850724970677,4.770459574996997,4.972449848649325
50,3.806066979638386,4.796099986660278,5.237285077586696,3.416763482815174,4.927620826303219,5.043067476427079
51,4.510999715643303,5.229210716600191,5.25211007593151,3.7916492250445706,4.982149608833059,5.1014379658945295
52,4.207117272946219,4.636390995507561,5.219374165222745,3.253920039604943,4.695473168034921,5.096720567769726
