,model1,model2,model3,model4,model5
0,4.926409787621334,4.9180095157430115,5.261860086313595,3.4200201943563666,5.139468352020671
1,5.086667907402041,4.775121618225759,4.967981589623623,2.9005720924531713,4.976610202782676
2,4.453317967916164,5.31981094414215,4.862707916395733,3.680277298647879,4.971219532162685
3,4.716845545060297,4.877833541641615,4.7760052352367355,3.80077251040632,5.0775424908327045
4,4.364089720773453,4.986224411590217,5.117716361289215,2.838171743290856,5.131883362878181
5,4.255593136530392,5.139101471412193,4.903019878419469,3.380216759575774,5.012642470573748
6,4.527463896703053,5.3374198665997685,5.137765767859298,3.6020121902219464,5.149911353975902
7,5.0675131315552715,5.167961824267754,5.015448784061581,3.429985595665257,5.308821190440001
8,4.605957730916233,5.061025687968776,5.149872844800621,2.8643911804717677,5.146941896595762
9,4.670197785254073,5.072233582701742,5.287120794043518,3.068465258318081,5.04293648190449
10,4.633075977383738,5.400996796935669,4.849403782621898,3.642775570531929,5.1191668559707555
11,5.001665210656348,5.090622550659672,4.979323455275135,3.552408372494865,5.124536268365513
12,4.257344889463645,5.083291157736783,4.701059111464946,3.62948308237635,4.84287094762105
13,4.8181600598632075,5.2986164486087155,5.281127731854704,3.638437011274631,5.069366640996323
14,4.496900569035955,4.805188055634804,5.0271108946076515,3.0690447452793874,5.193961696586052
15,4.379934508840916,4.8524337870203045,5.285145293265018,3.689976316756694,4.97374695901525
16,4.233328180524983,4.788909409920919,5.16373813840234,3.2429665489246626,4.788537158793629
17,4.492965365661985,5.1422401057226175,5.273001179318602,3.2559423004790875,5.167382561971464
18,4.39712437580988,5.105057213413359,5.231462227517312,3.1790436361233927,5.0000820675809825
19,4.660542925965009,5.077790899057127,5.212105968515852,2.8306354586034,5.10420630188861
20,4.816222259203914,5.020638593916097,5.323295868499866,3.1011938236192433,5.130091433723315
21,4.731525297609172,5.121728484172762,4.687547925156083,3.76034413226674,5.194740677231279
22,4.741487153085944,5.077570365095998,5.216551787580653,2.7386861292774247,4.9765416691905795
23,4.68128214877878,5.164673369263471,5.065419469892399,3.46197305431646,5.2469380162479995
24,4.408216296313662,4.849013630367883,4.572924314466556,3.5342436693493466,4.996043482298507
25,4.38568887641174,4.794662081264585,5.13883721539338,3.637292767752974,5.143584154754029
26,4.9302211783798,5.035314329271417,5.209206458820766,3.30303119309021,5.123244093286006
27,4.340177666038306,4.738593797029514,4.708389884651405,2.441598947081864,5.074819524039266
28,4.719246280987257,5.0583966212671125,5.221799801253346,3.0415557202294377,4.998434843522769
29,4.492324009262499,5.312585884710141,5.240446694487266,3.76012553583605,5.175741221897111
30,4.135221059808879,5.388028266751974,5.0306395006937255,3.5409620155803077,5.0852926284762905
31,4.685667168207776,5.228858000848181,5.121504267832749,3.804427351962345,5.134961770817665
32,4.282487369007292,5.2103966906975705,5.094538977142183,3.52436784320903,5.25498108367204
33,4.905505779848446,5.370364033066426,5.241326451870701,3.2506631421936603,5.289111137449753
34,4.446310295559339,4.935410317943723,4.972577067586145,2.6325680624712233,5.069085789597951
35,4.567604916121278,4.629240931907968,5.11220617410974,2.439146645748864,4.92836954777747
36,4.5250456185117045,4.867838860966103,4.91105810361485,3.7493222574219933,5.121907296431583
37,5.10751122820731,5.270533786228455,5.057595618923047,3.912468083431397,5.058787458603209
38,4.529043164306885,4.714456498214124,4.63334911647527,3.62298900212233,5.1371888444082625
39,4.962281745889084,5.163594301955205,5.1465181189515805,3.4558915929471885,5.061828872962353
40,4.5889819002805226,5.094098367371008,5.2569892555135835,3.529792468013305,5.16115304911257
41,4.5752933135215885,4.574997755596092,5.0340123589944525,2.9040850724970677,4.972449848649325
42,3.806066979638386,4.796099986660278,5.237285077586696,3.416763482815174,5.043067476427079
43,4.362106523381782,5.1399259436099625,5.282308437787276,3.4446260356725005,5.097763297370274
44,4.510999715643303,5.229210716600191,5.25211007593151,3.7916492250445706,5.1014379658945295
45,4.207117272946219,4.636390995507561,5.219374165222745,3.253920039604943,5.096720567769726
46,4.821524704956947,5.074405987362784,5.131955229717739,3.76976802988769,5.078430315916206
47,4.871824480020684,4.793385013327083,4.914836638663027,3.455140995876197,5.039218512676644
48,4.769915541656781,5.112916572006074,5.10813292200683,3.246783651994233,5.0652756782589305
49,3.7874011311116673,4.841554846376631,5.189028434646935,3.0795433091486206,5.04497672991013
50,4.248553901868922,4.8765422932118145,5.089764224467798,3.492050425573423,5.05205436461907
51,4.802086944618075,5.0167068564516315,4.563643865235653,3.76651985813118,5.158756881052882
52,4.213023777028733,4.989497470128124,5.003541361432333,3.147476305923679,5.3751379478482795
53,4.747964207439802,5.117254408793931,5.187060555151436,3.203561338309843,5.135865214492879
54,3.8887760752628346,4.958392491689172,5.125469747879778,3.1250934703608855,4.988115438128511
55,4.339222625662056,5.263128251433315,5.361697209682273,3.4330480492457998,5.074471465693552
56,4.32973213323708,4.976901266798897,4.850218741089332,3.450097845337107,5.132499547295879
57,4.752258724336819,5.251330129770372,4.464355516837244,3.5905959302282224,4.956655837453542
58,4.447255004388463,5.150231939238959,5.157974897752749,3.2161414796334635,5.242729803150016
59,4.23522280660409,5.035659874782543,4.92458401878158,3.4364790302072565,5.140350096564019
60,4.116043904595002,4.569327631159295,4.4845161514199825,3.1309537769892373,5.11345011887799
61,4.175244087106805,5.193680797287777,4.920966618340729,3.223114716495486,4.955330169987462
62,4.448782094964197,4.794322969507708,4.48381870742218,3.3559608451109577,5.182707269542426
63,4.081424597518454,4.93060191111153,4.5827863536751305,3.711605139705748,5.154946681275598
64,4.942139797808104,4.948790211368264,4.918381494858519,3.4393540064626,5.050814151168606
65,4.3820105744769515,5.156992113740803,4.896907491536448,3.007844333310042,5.143355871028605
66,4.177353370133767,4.820025796005259,5.034899649023881,3.6776933311712825,5.083386736767217
67,4.440732256874481,5.102835109819667,5.259526802646414,3.061589401086927,5.158870474628469
68,4.889290713383276,4.993478651185933,4.7424512920331265,3.8456299846171857,5.155904737934578
69,4.6444167481999505,5.198096088180091,5.134605167580614,3.9889212224816877,5.117379131460866
70,4.5195369966457495,4.745228343834868,5.129566386671498,3.2603353268622723,5.027606024199672
71,4.563377459997064,5.19600098314315,4.395518906309931,3.3267389957737734,4.860492102697576
72,4.47046014833681,4.9193871501189035,4.793442733602763,2.937227460571651,5.043140503306001
73,4.59212541375885,5.0307579227105155,5.094201917072116,3.338347604603571,5.100652747212682
74,4.187175568099339,4.8560150669718665,4.795185342360329,3.5359716254296174,5.193653008232821
75,4.641755280214519,4.86430001665744,4.665099018395105,2.790313624114093,4.9398893598657985
76,4.646256969495556,5.052743659194744,5.055665426509866,3.5637625517163825,5.020869742535031
77,4.660940428710091,5.305998372694868,5.273858863927943,3.5581917048667475,5.125304140238478
78,4.775908763376284,4.982316443549332,5.07920799393871,3.6595342937669684,4.905937479553338
79,4.0187746726442395,4.792192424532097,4.963041050009505,3.4322171750793853,4.953585176436879
80,4.063526553743405,5.05855010362887,5.329756649004622,2.9596275640605145,5.116614178105614
81,4.099937331434837,4.735634804563359,4.99249640503287,3.0599116747502446,4.874303789912402
82,4.857622659170037,4.985019244444666,5.268217341863246,2.853804481770931,5.107505238226026
83,5.0397938132471625,5.154845153205057,5.112687928361273,3.7310185282585064,5.203751633403267
84,3.9708001517677967,5.216195520834971,4.943642068566867,3.694210047745365,5.142957135577349
85,4.979378006503872,5.190140770876617,4.38974032769657,3.234975357889654,5.019922706550821
86,4.525946277578054,5.216244592193807,4.988160979378974,3.797731537198558,5.091888718877327
87,4.225297522071498,4.915321693034107,5.130468956725898,3.5278542065455123,4.801572294496932
88,4.171834063397793,5.1873968703238775,5.114388952607818,3.355397521603819,4.948240093025326
89,4.115835610863184,5.182775227716164,5.306287411996437,2.8003737395293364,5.140401174379532
90,4.4811810685245534,5.16383281467686,5.149911022774313,3.6161975870815186,5.236575455516664
91,4.3724198532924365,4.780652781085401,4.977352416244872,3.2131510020206275,5.063256002390122
92,4.728334080959391,5.322374630868953,5.298306475614741,3.364208388546755,5.248989052913372
93,4.421047565409638,5.04219426669439,5.220546385920172,3.6939141058664675,5.02642861926274
94,4.987455223819492,4.7851284035332995,5.116223351078422,3.0966443597591757,4.9887102841306685
95,4.328677025083083,5.026052151886732,4.983367684588578,3.5402211949482103,4.927979162619005
96,4.694672474563227,4.848394944533098,5.147466742830796,2.954094883484213,5.049030738309308
97,5.022590672105206,5.064210070782958,4.874082486081798,3.4253659318610836,5.091982076963525
98,4.615233035863383,5.07047048592499,4.903195277667545,3.588744650654406,5.237563939261013
99,4.284256501366125,4.989691267823495,5.0060417116903935,3.3960499993807542,5.165020205507346
100,4.103159907318402,4.888603847171852,4.544392605481806,3.4615216648900367,5.169892248623206
101,4.647927249714777,4.940730369165421,4.746965143073814,3.266351364783147,5.0351707782556545
102,3.884671440020432,4.5096110099684035,5.172680543611171,3.5887212755255584,5.129417119028516
103,4.490938272910653,4.937499392483978,4.947000246447677,3.331951137111607,5.0909734050147515
104,4.658411780519862,4.952684439384427,5.05121048596933,3.4084556206504253,5.227675452651129
105,4.1494282359530565,5.127915652592813,4.583171488875365,3.5738909317350602,5.150593307671937
106,4.870357787894167,5.141820876675161,4.976600879854869,3.875723738757231,5.145048965522021
107,4.957160016997514,5.110175222642212,5.083632102862166,3.592305712828482,5.0145103081816345
108,4.523653733237065,4.8732134404127265,5.14659955007604,3.085644871938715,5.138800230353817
109,4.735182633777074,4.897208557891749,5.203974188194192,3.508636628192642,5.117731739963461
110,4.4011410556113315,4.884086019001688,4.237133762264356,3.5379768868593957,5.020717734034106
111,4.57768941992888,4.8374626858131995,5.113694838991215,3.249059104884106,5.070937934276573
112,4.041991806132896,4.944316057843137,5.014581564435521,3.078854489304577,5.073686309238832
113,4.590910124805106,4.876573566731161,5.142858489606027,3.366238696021469,5.046397950897929
114,4.759296329866358,4.630953665804314,5.173339957164372,2.6263400667952226,4.825721186505258
115,4.74155333366056,4.858178185537077,4.852483449665325,3.633340291625874,4.864471144762296
116,5.3411749561295485,5.020621474303266,4.830055083299395,3.6324640120643767,5.103479908581019
117,4.71820144103944,5.105302766609543,4.424975329874115,3.7717022798298157,5.075884116936553
118,4.032305204109975,4.955180003294886,5.307019872223828,3.4070457377483385,4.938468564305998
119,4.4698369697354146,5.030447547815121,5.1353438184335705,3.7355676531491526,5.090640603821626
120,4.70447944964074,4.6129142093383875,5.272383836975865,3.56002278273558,5.0270610043236825
121,5.129730773622903,5.014101939700336,5.021239784340501,3.1722781496905434,5.016638027472285
122,4.721640243213961,4.697166020248146,4.989373236998295,2.7421975292286187,4.860020838424843
123,4.147275964926152,4.648214351612179,4.926374588811664,2.5070139634473607,4.8191424839216275
124,4.21785926137098,5.088950513700645,5.245615884416096,3.336736566137925,5.138300227808211
125,4.787478839324396,5.135471771734559,5.281913771020562,3.4574691185018795,5.225159393581624
126,4.1576277650892735,4.826892939671819,5.109979861195403,2.8797827542664285,5.186325467955572
127,4.382871771030174,5.020624251901295,5.057913512182741,3.1697826753883787,5.0632270695893755
128,4.453387104818116,4.590132426097101,4.8777535603646935,3.612589518753036,5.135571926159357
129,4.433072377128868,5.057462064164985,5.314041220247004,3.2388135153622963,5.069658402099057
130,4.443059111640851,4.851462994669596,5.103176836475639,3.1862130145572958,5.0282536173829095
131,5.018230323356347,5.0010837358813784,4.992056465560447,3.555023159992673,5.033055580604023
132,4.369083626473349,4.977002892889003,4.995012558191265,2.781152117594342,4.891743462316535
133,4.772680560910486,5.0190693954039505,5.004478128013599,2.983789048395414,4.86945094535555
134,4.757517509030201,5.12509203603887,5.211157678530088,3.5360444845661614,5.048150075093919
135,4.920461517614823,5.152687973820987,5.159888881386312,2.7904437158636486,5.216545984224918
136,4.643712580946869,5.091928149332211,5.062429230692142,3.1178248330930316,5.106259969651584
137,4.528992076515883,5.093711966940788,5.3001369081184775,2.8282257200175835,5.207073114723165
138,4.399975428284701,4.902468839630796,5.2845756294648645,3.1780038815665272,5.281517896971857
139,4.5696528174821385,5.048751950324678,4.985520515427907,3.3389165391502993,5.312593860537271
140,4.406606712472991,5.008480593064488,5.0824888915713275,3.0914305769626518,5.074747819599575
