,model1,model2,model3,model4,model5
0,3.6070535830379886,3.5475237087863443,3.140069848755566,1.2823355576076005,1.1168026137833116
1,3.85313001040765,3.9729346015116436,3.737961664856033,1.6365216137268985,1.619066186000513
2,3.422151799436877,3.297723335430191,3.4703691780786126,1.4676395932827566,1.16575214969612
3,3.181156166242722,3.3854005787214847,3.416845685568482,1.7307976041325106,1.2519846934798025
4,3.4624456459398334,3.4922362081738685,2.7949421139431445,0.9658865636963149,0.7016079118764541
5,3.4143760463847452,3.719719142581118,3.4285363342004054,1.8702166651776337,2.25569074222065
6,3.2951298035970074,3.2390101079657416,3.3013744173941566,2.114257387952695,1.9930396898648808
7,2.9576981994861704,3.352359267662841,3.4606910814456042,2.0894243769811474,1.4379232834558824
8,3.2777176704888777,3.429072048787841,3.462987530687305,1.4175995053775412,0.9757986848574922
9,3.1236559091419562,2.88662927764637,2.589729864902001,0.7208115732313696,0.6400942976266111
10,2.978979775193611,3.5796092712991,3.015210755944202,1.233190518213783,1.454315900061356
11,3.6190648643977696,3.6317264202184067,3.2219101166899744,1.540862036467935,2.014307170348361
12,3.2138424410237336,3.4601535558769734,3.1604189257954296,1.7771619985000944,1.2942000110945293
13,3.400232362091216,3.200244156805133,3.071215266461518,1.6667985603600732,1.1872599647046311
14,4.001057190865654,4.3274139381277585,3.8038302028238364,1.3804371704234035,1.17073054878811
15,2.8737465249716325,2.9729549196786245,2.7404233935408575,1.4484552168250582,1.5462083569563976
16,3.7248037294886953,3.1507053987097353,3.293165475237649,0.9897455302526201,0.267332585070906
17,2.8269310898375206,3.117983398104534,3.2631356850670215,1.2846890040354915,1.4294110184424977
18,3.6977499925334407,3.6437251086233715,3.6975154151030085,1.7497168245706038,1.3466261964908215
19,3.7447312162251487,3.500582904219144,3.6346833609525016,1.6375405779179615,1.9162462921271954
20,3.179651680350144,2.912268249707836,3.01563640415221,1.3189610754401366,1.3806687395330517
21,3.4346209022344403,3.6207217247752026,3.517273906485374,1.9736564012642765,1.7794952890615656
22,2.937210004051836,3.6873097778127564,3.6569670604709628,1.9453509987326127,2.005269997652699
23,4.0143849201086335,3.6219817327987296,3.268598548437738,2.159046513070442,2.6399599422694324
24,3.7954774403621916,3.864984242199356,3.4049754138612816,1.5420145273201213,1.3238123830977382
25,3.4233614284967895,3.4814432252964305,3.3379069545243563,2.313595042860544,2.292453372879013
26,3.128960346466733,2.8927739298655957,2.9663130588611364,1.184663097098522,1.347575166600257
27,3.1075688440858134,3.1104262068542683,3.1360016309006404,2.0463583974976927,2.20276277914811
28,3.0747270617880504,3.2719050006914214,2.872531354086567,1.8129569719044467,1.9085497114615322
29,4.238585641593538,3.9866706150892397,4.057087851075757,2.182956284615219,1.5543789955590115
30,3.5830111639438464,3.9314602301164205,3.9314075874107672,1.1684597281356877,0.74291559911458
31,3.1897856466572234,2.9945875456740594,3.097394329416228,1.608452627095117,2.009808876130439
32,4.162109325768188,3.749868164906524,3.6320129047853706,1.3939364813739,0.9642615620733046
33,2.907137566147264,3.25199150533583,3.2154102750179554,1.8183115592345034,1.4021120975310162
34,3.3036479892373256,3.300204389146822,3.2656583896116835,1.8808678166721726,2.095043972415809
35,3.9470050647027217,3.6603377769284506,3.579678423031863,1.9688205618408936,2.0550022586942296
36,3.132365411136722,2.949321647837251,3.3181639920937505,1.443241873877649,1.0596116517816765
37,3.1164035973160544,3.1491444040489265,3.0890124642865273,2.6274381744467785,2.9952323444710394
38,3.755206181095167,2.985068547139823,3.182084683728656,2.0469194181137604,1.807707931467667
39,3.7926507845322335,3.3600234422704847,3.3023402365156995,1.1805099618644008,0.6660990369437313
40,3.643341059771037,3.3692577599885505,3.3494687592486847,0.9559886429814066,0.5210491840718158
41,3.77201558382623,3.3040499892009443,3.0733799063159344,1.2366911451076175,1.3282588301612668
42,3.3291328326072254,2.943220709584416,3.166422049689154,1.1254081084845597,1.143987974082178
43,3.585628845046612,3.54040190751519,3.3779124602229222,1.6692195266099286,1.215257200041203
44,4.107921803591902,4.12636367872839,3.488034330359371,1.26391150817343,1.0236498519366166
45,2.998254629816559,3.13721126748008,3.1557681676617197,1.027176188054995,1.3487470248174962
46,3.5662715290937754,3.8983691347803497,4.021575952577851,1.7675161560161996,1.3755542039877264
47,3.366913866760261,2.9901347767655775,3.184764105444986,1.741227437809528,1.4435410720991353
48,2.914859051785168,3.741684368413571,3.738780125788215,1.998705533777774,1.4295234142352384
49,2.7808523405713945,2.799429264256753,2.5783829515095786,1.817509237756663,2.0529182286663916
50,3.186302344503311,3.8928394651265505,3.8118077356422666,1.48567073209776,1.3302882100476192
51,3.106350773658139,3.0299914185850807,4.107806924630988,2.159442754843063,1.5670329317799805
52,2.946871602250016,2.756972866729195,2.784160330179164,1.979890317615767,1.70915862346873
53,3.2550578905983,2.8110062311910764,2.9579036144194784,1.908128632133479,1.7341922836876007
54,3.0642312826548928,3.1445507718666845,3.096779585065567,2.003797898002104,2.794798081887354
55,3.5372427692955197,3.431863265061959,3.519730824972152,1.88134846680461,1.3563321995411985
56,3.801358917800744,3.7092815432468234,3.685802563867445,1.340539166174776,1.1353538250507382
57,3.252952746930091,3.578424778221692,3.4245890230377305,1.7973750437595035,1.9043534497987804
58,3.1179518992738644,2.944147709636341,2.919257696251348,2.1340508385270294,2.0353498603227296
59,3.778316900607532,3.551109461898817,3.6257758640818194,1.1981981868045506,1.1064613801366805
60,3.595528969419409,3.9369010745298914,3.7987504530670746,1.7061431421834206,1.4605536470460714
61,3.4723818504405966,3.3941604436475648,3.418510208060447,1.681570451150584,1.540522154180523
62,2.7763376034321836,2.8246299009993625,2.4380185419200933,1.1053261806520454,1.2860097185488701
63,2.9564790094973668,3.5579953983124746,3.4256996768309795,1.9086704277623616,1.0948441482530313
64,2.762143595783473,3.178013723277411,3.0325837980123764,1.6828710361312056,1.616722509455039
65,3.518137722074022,3.542324285675146,3.64579052573445,1.3674760037527491,1.4803912742292997
66,3.689825888771467,3.501317047180858,3.2815346547152813,1.6932072330570214,1.652749197564189
67,3.649993192434534,3.2524010845737648,3.2397078112421753,2.3674648272143317,1.6226763348567717
68,2.8229471973542153,3.680960950609213,3.500322869567222,1.9593167023251534,1.300757736357756
69,3.1407202138612154,3.2621408331844264,3.098172843451186,1.7676458030746423,1.4500891226320924
70,3.1176334643596526,4.150218612142229,3.2116439553760268,1.30579811021635,1.1427636068145914
71,2.8075703552414266,2.8215814224591322,2.8051967484537657,1.174329505770172,1.1942801844308866
72,3.9185345834015712,3.301703152141122,3.1889520371249533,1.0233280157277198,0.717448080671174
73,3.6114163308504215,3.2109576634291805,3.277494682497587,1.4868469084269416,1.506317750738609
74,3.1842377458941624,2.782427980947504,3.1309715151424187,1.2734158532636561,0.41502299659412484
75,3.291383881625238,2.855125125389685,2.706575741946177,1.5868835534493908,0.8393737858576642
76,4.06607298702201,3.804341170565309,3.5920962810880095,2.0321750983301015,2.4415499237645597
77,3.319546028235471,3.296802874924179,3.2823235891641573,1.4769633974209797,1.4493982408430492
78,3.5040900625412545,3.6057227170099297,3.6276157350769105,1.4004309161734647,0.9446004525847835
79,3.2675734254968534,3.453054232816669,3.187913485000324,1.5973456921942173,1.5327984014290448
80,3.519422517421865,3.074822334363778,3.374671128945597,1.92411718233703,1.6093370759342545
81,3.6596472847069452,3.3429862380597597,3.4425500358447874,2.0149691162743184,1.3343207672064537
82,3.2639907648623736,2.992186979649194,3.0170908579805764,2.0462803737967348,2.1350028396641885
83,2.8204041195779186,3.0611678964458413,2.732057612894012,1.0415370332416922,0.9132852179818162
84,4.155884604563794,2.983543964028501,3.134600346968141,1.307651221438572,1.1600851856555192
85,3.79564528058565,3.6377850040104462,3.8335777801528845,1.4619201469142178,1.390998322644062
86,3.4125189596839194,3.5664319921217706,2.9014269016280925,1.362674201892457,1.1927555294736871
87,3.030476508357204,3.3952233500998372,3.0413406534360075,1.16578038563556,0.9685708009989588
88,2.535852769927607,2.685222947917531,2.6101365520507316,1.8724791316805436,1.6330505478500696
89,2.8853603968915156,3.5211132838389316,3.421528486163483,1.278312829239763,1.337219342912278
90,2.9005818561845635,3.541833230266991,3.6966039793832484,2.308828238709242,2.2220947489485017
91,3.380311232067702,2.960782981345666,2.836511490763856,1.3273825534035073,1.4403161738408687
92,2.881439740664889,3.0395359835147384,2.9460372791560148,1.5925012691838067,1.5847104925417923
93,3.6656993475028368,3.6111357186201634,3.5548872427931757,1.2556564383254418,0.8656002206180858
94,3.9383476969815834,3.6084804766622085,3.7326745044856326,1.491997350341578,1.4110439767122775
95,3.1529917864897046,3.35609781473303,3.217433330164854,1.5636390527222883,1.380578320917209
96,3.7723393042597717,3.1317733485643835,3.195632362473255,1.5245808934057097,1.0416757200212596
97,3.781069626334581,3.9966582468575225,4.043333399615175,1.1108629644490031,0.795485061895902
98,3.402427430837078,3.1065560144919724,2.972908424242206,1.3488573912544715,0.932879943824388
99,4.399972446691806,3.7448614750366396,3.823242525858305,1.0822908346255893,0.6496527167789266
100,3.952781533236855,3.8249143690903127,4.025881425912896,1.0192776858124246,1.0112191318040227
101,3.708152375848987,4.303482531138311,4.2861031599511055,1.0115582360523816,1.0328310674853405
102,3.598370142279265,3.4974643378812837,3.567451564315099,1.6563197455321392,1.5615424567596483
103,2.8736893014082074,2.856620817652163,2.980282586868481,1.784918736973698,1.651612162307291
104,3.2258340108341663,3.517822264506901,3.581459460202241,1.4236928637694934,1.0449229064316183
105,3.3945708569189463,3.2779882307717125,3.2074937812210527,1.4642328296213754,1.8433557944301882
106,2.928055572655232,3.015855974568593,2.7020594892839442,1.4311634749140456,1.6001601252104407
107,3.7147855484551022,3.31569206135413,3.14486967261409,2.8011451811146015,2.3179723198803246
108,3.249534327013825,3.5076467710205526,2.7474936696240566,2.2464168633738146,2.1527349502618733
109,3.5039434644745038,3.7085232650602835,3.203517506737382,1.8139309664108543,1.4428821285172828
110,3.275233122403916,3.1764430352189277,3.2195570707238343,1.4746984455299914,1.9705098630381896
111,3.439239669022051,3.8497104635203283,3.2924784530388265,1.2903705192545984,0.9543152366793319
112,3.243507186151375,3.1992030763529016,3.048691013439541,1.3574457515446388,1.4780595429550665
113,3.547876094545063,3.355292115789007,3.3285591726251553,1.548845235301947,0.7315670656416626
114,3.6039543798908236,3.5517135207034087,2.878843197693631,2.0144487388896755,2.3389019504168784
115,3.500966431261744,3.4619597642132676,3.5678431900162555,1.4535996120426917,1.6746693889558038
116,3.6746585813283317,3.579164027824948,3.7804578199170984,1.4988953868512833,1.406730136250318
117,3.9012373085846623,3.897951080276342,3.8510361501502866,1.165544115116727,1.0844950857093794
118,3.0759604231771633,2.8990222512078176,2.927421850561037,0.9548626208336783,0.4330238936942735
119,3.3393111633182526,3.5387216998577258,3.7697463787998324,1.8807106098046493,1.9721339035198207
120,3.55483250190317,3.9760080143356493,3.8407806259374038,0.8281445051715262,0.5102000166370042
121,3.270429646137829,3.107137762341053,3.1481063064245056,1.57535283244638,1.4885877413106614
122,3.809511619529363,3.0161266710216346,2.9475449572150563,1.4537463346249397,1.1459127792458712
123,3.2370270738988594,3.029187931959681,3.0130148376397274,1.4689143826309634,1.0715401652870133
124,3.3475542512762084,3.69345976924835,3.703416852199052,1.3651300401539026,0.987655794417562
125,2.702880565205427,2.4414850059688087,2.5428939953962577,1.2914811129383381,1.3777373108281248
126,2.582203131571995,2.683409711035191,2.597065473127772,1.6154150891816421,1.4964200906181837
127,3.058881789149413,2.9109677024629304,2.798277219944297,1.6954459779043949,1.2833344439102177
128,3.6749072434159786,3.4666063700905836,3.51512619904642,2.023037777489532,2.044328043246948
129,3.4098109404248502,3.586621600242894,3.0570400359040932,1.4075257722754786,1.2479802868476193
130,3.2303326648106663,3.579064933923605,3.280321879599769,2.145708982658829,1.6261955567311477
131,3.8412482850959297,3.4787811620326887,3.4389656151588803,2.158297332039155,2.618561773574512
132,3.396638090494687,3.39446034216155,3.501574811181075,1.6297270633711192,1.7708015968996584
133,3.285766653479017,3.1258852094586214,3.2328315243707464,2.9509515228684666,2.108874807106281
134,3.199403919706736,3.4006387701810064,3.196772133390583,1.9585049487714266,1.6117626979814796
135,2.96487748891774,3.414205032713575,3.2923855987345783,2.7549895179652877,2.1367555254487653
136,3.322479504339755,3.177972434448393,3.5586990903738824,1.1463922480070023,1.3974061989312168
137,3.7062702420960965,3.4348064679517676,3.171649555035579,1.2220613874677826,0.6181774309270682
138,3.4532130955091858,3.3050910136318805,3.3375761129786388,1.7221377563261178,1.7121088104624502
139,2.9440401544933317,4.254739086045573,4.421445139063762,1.9355685958492914,0.889088449817139
140,4.0197522905486665,3.498688929937962,3.5091543668574503,1.63017668915669,0.9306795543092842
141,3.9797974328884673,3.3601065357520623,3.5922903911917063,2.0037705725142194,1.8066829846765167
142,3.3536948888519977,3.368270357810914,3.6044155977699077,1.7222473342250053,1.974259982271455
143,3.7810303573931456,3.5347742754228535,3.552002067489116,2.0194692681376383,2.3040259087345905
144,3.466510571140626,3.181726672917658,3.2066037376845564,1.2429769965522788,1.183450777428382
145,3.384705888070698,2.9137819065857418,3.157791683735378,1.8820432504799471,1.227796286089474
146,3.8926421127589883,3.23718702528026,3.4627825020852034,1.426709585329751,0.7240739903125972
147,3.6947194968344093,3.5124236939882643,3.028688616386919,1.898685318463759,2.5727471588350275
148,2.76127304590337,3.097059597979189,3.0416198460736794,1.5830269095386489,1.967405568105156
149,2.887183930764056,2.994251220148191,3.0291314234173647,1.9609900514238274,1.6774897844556063
150,3.2159260026331937,3.2019682956035846,3.0311050358267124,1.3010228124114007,1.018243098555979
151,3.058867716960742,2.868545343431254,2.9279561622870234,1.747334915775678,1.5945739536563435
152,3.6847207728873026,3.2907755810989396,3.055582556166397,1.3837605710646035,1.0375572852117456
153,3.5883766143568883,3.5191964703894767,3.200831373421548,1.9119958401634798,1.9544884657662571
154,1.9683773993354288,2.708061318849843,2.3445883789458906,1.712312134221307,1.7109717764362766
155,3.1785306562481233,3.0737409685098207,2.847771779652944,1.3663706019599968,1.5751347396695983
156,2.8790609579648425,3.198611623156401,2.875264058042733,1.9334971631575337,1.696832228952573
157,3.5854801306415323,3.2670173819655686,3.4611557867899405,1.7888004516271467,1.8148281023296429
